Opt. Step,Classical,Annealing
1,0.00017148638382004757,0.015644283423162382
2,0.009422912909971281,0.0009793021760134135
3,0.02393638861760381,0.0007518157703818836
4,0.027500869213997817,0.0007245938567511684
5,0.019293533241468475,0.0007066761936423236
6,0.009199620806018827,0.0006916020875216686
7,0.001706749494559007,0.0006823065801106406
8,0.0009097133071910906,0.0006688888217798888
9,0.0006619577366671378,0.0006639980607746945
10,0.0005702430106823913,
11,0.0005423721081694419,
12,0.0005309760045203147,
13,0.0005254481151798402,
14,0.0005229652342607442,
15,0.0005688778084547846,
16,0.0005546895254779871,
17,0.000550800963729161,
18,0.0005645038646338257,
19,0.0005599095908535646,
