Opt. Step,Classical,Annealing
1,0.8000000000000002,0.5016276041666666
2,0.5999999999999999,0.5001085069444444
3,0.4999924333636216,0.5
4,0.49994863348969054,0.5
5,0.5000291143153713,0.5
6,0.4999808003498021,0.5
7,0.4998790377504733,0.5
8,0.5001990820344363,0.5
9,0.4999459890125626,0.5
10,0.49990050386998697,
11,0.5000772531272184,
12,0.49995168964897135,
13,0.50003933178884,
14,0.5000032961992367,
15,0.500024991970931,
16,0.49999959586796877,
17,0.5000031086564843,
18,0.500010951386262,
