1,9,10,11,3,12,13,14,2,15,16,17,7,24,25,26,1,27,28,29,8,36,37,38,5,18,19,20,6,21,22,23,8,30,31,32,5,33,34,35,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86
9,10,11,2,12,13,14,4,15,16,17,5,24,25,26,4,27,28,29,8,36,37,38,3,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,18,19,20,6,21,22,23,7,30,31,32,7,33,34,35,8
0,0.25,0.5,0.75,0,0.25,0.5,0.75,0,0.25,0.5,0.75,0,0.25,0.5,0.75,0,0.25,0.5,0.75,0,0.25,0.5,0.75,0,0.25,0.5,0.75,0,0.25,0.5,0.75,0,0.25,0.5,0.75,0,0.25,0.5,0.75,0.125,0.375,0.625,0.875,0.125,0.375,0.625,0.875,0.125,0.375,0.625,0.875,0.125,0.375,0.625,0.875
0.25,0.5,0.75,1,0.25,0.5,0.75,1,0.25,0.5,0.75,1,0.25,0.5,0.75,1,0.25,0.5,0.75,1,0.25,0.5,0.75,1,0.125,0.375,0.625,0.875,0.125,0.375,0.625,0.875,0.125,0.375,0.625,0.875,0.125,0.375,0.625,0.875,0.25,0.5,0.75,1,0.25,0.5,0.75,1,0.25,0.5,0.75,1,0.25,0.5,0.75,1
1,1,1,1,2,2,2,2,3,3,3,3,6,6,6,6,7,7,7,7,10,10,10,10,4,4,4,4,5,5,5,5,8,8,8,8,9,9,9,9,4,4,4,4,5,5,5,5,8,8,8,8,9,9,9,9
2,2,2,2,0,0,0,0,2,2,2,2,1,1,1,1,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,1,1,1,1,2,2,2,2,3,3,3,3,3,3,3,3,1,1,1,1,2,2,2,2
0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,2,2,2,2,1,1,1,1,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3
