1,3,2,5,6,7,1,8,5,8,9,10,11,12,13,14,15,16,17,18,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105
66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,9,10,11,12,13,14,15,16,17,18,2,4,5,6,7,4,8,7,8,3
0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875
0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,1,1,1,1,1,1,1,1
1,2,3,4,5,6,7,8,9,10,1,2,3,4,5,6,7,8,9,10,1,2,3,4,5,6,7,8,9,10,1,2,3,4,5,6,7,8,9,10,1,2,3,4,5,6,7,8,9,10,1,2,3,4,5,6,7,8,9,10,1,2,3,4,5,6,7,8,9,10,1,2,3,4,5,6,7,8,9,10
2,0,2,3,3,1,0,1,2,0,2,0,2,3,3,1,0,1,2,0,2,0,2,3,3,1,0,1,2,0,2,0,2,3,3,1,0,1,2,0,2,0,2,3,3,1,0,1,2,0,2,0,2,3,3,1,0,1,2,0,2,0,2,3,3,1,0,1,2,0,2,0,2,3,3,1,0,1,2,0
0,1,0,0,0,0,2,3,3,1,0,1,0,0,0,0,2,3,3,1,0,1,0,0,0,0,2,3,3,1,0,1,0,0,0,0,2,3,3,1,0,1,0,0,0,0,2,3,3,1,0,1,0,0,0,0,2,3,3,1,0,1,0,0,0,0,2,3,3,1,0,1,0,0,0,0,2,3,3,1
